model,mode,category,scenario_count,tp,fp,fn,precision,recall,f1,exact_match_count,scenario_exact_match_accuracy,exact_match_ci95_low,exact_match_ci95_high,clean_scenario_count,clean_design_specificity,unsupported_claim_rate,parse_success_rate,invalid_finding_rate,abstention_rate,citation_correctness,traceability_completeness,human_review_flag_coverage,automatic_modification_count,prompt_tokens,output_tokens,mean_latency_ms,median_latency_ms,p95_latency_ms
mistral:7b,hybrid_explainer,mixed_fault,10,22,7,7,0.7586206896551724,0.7586206896551724,0.7586206896551724,4,0.4,0.16818032970623614,0.6873262302663417,0,0.0,0.2413793103448276,1.0,0.0,0.0,1.0,1.0,1.0,0,27095,5540,193963.33931000263,182605.80939998908,303215.0184000202
mistral:7b,hybrid_explainer,single_fault,25,19,11,6,0.6333333333333333,0.76,0.6909090909090909,19,0.76,0.5657031664457093,0.8850368630659855,0,0.0,0.36666666666666664,0.96,0.0,0.04,1.0,1.0,1.0,0,58874,7644,120743.16670800326,108234.58459999529,189854.90870001377
mistral:7b,llm_only,clean,5,0,18,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,11347,3640,210295.58349999133,201572.01889998396,278945.67349998397
mistral:7b,llm_only,mixed_fault,10,0,15,29,0.0,0.0,0.0,0,0.0,0.0,0.2775327998628892,0,0.0,1.0,0.5,0.0,0.5,1.0,0.8666666666666667,1.0,0,23788,9121,248263.30329000484,282268.0811500031,321303.8903000124
mistral:7b,llm_only,single_fault,25,3,31,22,0.08823529411764706,0.12,0.10169491525423728,0,0.0,1.3877787807814457e-17,0.13319225093904846,0,0.0,0.9117647058823529,0.44,0.0,0.56,1.0,1.0,1.0,0,59764,24054,261353.10425600267,297434.4604999933,326399.3938000058
mistral:7b,retrieval_grounded,clean,5,0,9,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,0.6,0.0,0.4,0.0,0.8888888888888888,1.0,0,11582,4070,221421.70098000788,185110.00610000337,296629.0810999926
mistral:7b,retrieval_grounded,mixed_fault,10,2,31,27,0.06060606060606061,0.06896551724137931,0.06451612903225808,0,0.0,0.0,0.2775327998628892,0,0.0,0.9393939393939394,0.8,0.0,0.2,0.0,1.0,1.0,0,24258,8430,241033.00534999286,223507.27324999752,365129.2123000021
mistral:7b,retrieval_grounded,single_fault,25,4,46,21,0.08,0.16,0.10666666666666667,2,0.08,0.022220401284847563,0.24966108950395313,0,0.0,0.92,0.72,0.02,0.28,0.0,1.0,1.0,0,58029,18126,340049.1422040004,212116.7347000155,317970.5324000097
qwen2.5:7b,hybrid_explainer,clean,5,0,10,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,0.8,0.0,0.2,0.0,1.0,1.0,0,9543,3197,171608.24322000262,155076.5512000071,276904.28119999706
qwen2.5:7b,hybrid_explainer,mixed_fault,10,22,7,7,0.7586206896551724,0.7586206896551724,0.7586206896551724,5,0.5,0.236593090512564,0.7634069094874361,0,0.0,0.2413793103448276,1.0,0.0,0.0,1.0,1.0,1.0,0,22131,4365,148950.8860900023,139635.11909999943,259159.26279997802
qwen2.5:7b,hybrid_explainer,single_fault,25,24,16,1,0.6,0.96,0.7384615384615384,17,0.68,0.48410269273102247,0.8279480969309202,0,0.0,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0,48072,4905,384610.4133040004,80341.22760000173,156516.41460001701
qwen2.5:7b,llm_only,clean,5,0,9,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,9318,1527,115727.48117999872,107197.94689999253,145193.87950000237
qwen2.5:7b,llm_only,mixed_fault,10,0,19,29,0.0,0.0,0.0,0,0.0,0.0,0.2775327998628892,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,19499,2885,105985.68178000278,108647.32619999268,143675.06290000165
qwen2.5:7b,llm_only,single_fault,25,6,72,19,0.07692307692307693,0.24,0.11650485436893206,0,0.0,1.3877787807814457e-17,0.13319225093904846,0,0.0,0.9230769230769231,1.0,0.0,0.0,1.0,1.0,1.0,0,49032,10257,150279.16562000115,127317.6220000023,316508.2720000064
qwen2.5:7b,retrieval_grounded,clean,5,0,9,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,0.8,0.0,0.2,0.0,0.7777777777777778,1.0,0,9483,2736,158146.20027999918,132524.92619999975,301416.329700005
qwen2.5:7b,retrieval_grounded,mixed_fault,10,1,22,28,0.043478260869565216,0.034482758620689655,0.038461538461538464,0,0.0,0.0,0.2775327998628892,0,0.0,0.9565217391304348,0.8,0.0,0.2,0.0,0.7391304347826086,1.0,0,19829,5773,160848.91984000133,135919.25854999863,287274.18969999417
qwen2.5:7b,retrieval_grounded,single_fault,25,5,52,20,0.08771929824561403,0.2,0.12195121951219512,2,0.08,0.022220401284847563,0.24966108950395313,0,0.0,0.9122807017543859,0.96,0.0,0.04,0.0,1.0,1.0,0,47453,8006,112135.10554000095,90371.08379998244,189401.53400000418
