model,mode,scenario_id,category,expected,predicted,false_positives,false_negatives,invalid_finding_count,parse_success,abstained,latency_ms
qwen2.5:7b,llm_only,mixed-007,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],AE-R005@wires[3].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,108075.02350001596
qwen2.5:7b,llm_only,mixed-008,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,AE-R005@wires[0].target,AE-R005@wires[0].target,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,0,True,False,67839.7977000568
qwen2.5:7b,llm_only,mixed-009,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],AE-R005@wires[3].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,98293.37749996921
qwen2.5:7b,llm_only,single-ae-r001-000,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number,AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number,,0,True,False,169644.5644000196
qwen2.5:7b,llm_only,single-ae-r001-001,single_fault,AE-R001@components[0].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[0].part_number,0,True,False,107789.26389996195
qwen2.5:7b,llm_only,single-ae-r001-002,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number; AE-R001@components[8].part_number,AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number; AE-R001@components[8].part_number,,0,True,False,186201.5161999734
qwen2.5:7b,llm_only,single-ae-r001-003,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number; AE-R001@components[8].part_number,AE-R001@components[2].part_number; AE-R001@components[4].part_number; AE-R001@components[6].part_number; AE-R001@components[8].part_number,,0,True,False,162914.42899999674
qwen2.5:7b,llm_only,single-ae-r001-004,single_fault,AE-R001@components[0].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[0].part_number,0,True,False,81515.224999981
qwen2.5:7b,llm_only,single-ae-r002-000,single_fault,AE-R002@components[1].id,"AE-R002@components[1].part_number, components[5].part_number; AE-R002@components[4].part_number, components[9].part_number","AE-R002@components[1].part_number, components[5].part_number; AE-R002@components[4].part_number, components[9].part_number",AE-R002@components[1].id,0,True,False,139326.70699997107
qwen2.5:7b,llm_only,single-ae-r002-001,single_fault,AE-R002@components[1].id,"AE-R002@components[0].id, components[4].id; AE-R002@components[1].id, components[5].id","AE-R002@components[0].id, components[4].id; AE-R002@components[1].id, components[5].id",AE-R002@components[1].id,0,True,False,102926.85220000567
qwen2.5:7b,llm_only,single-ae-r002-002,single_fault,AE-R002@components[1].id,"AE-R002@components[0].id, components[4].id; AE-R002@components[1].id, components[5].id","AE-R002@components[0].id, components[4].id; AE-R002@components[1].id, components[5].id",AE-R002@components[1].id,0,True,False,117949.04819998192
qwen2.5:7b,llm_only,single-ae-r002-003,single_fault,AE-R002@components[1].id,"AE-R002@components[0].part_number, components[4].part_number; AE-R002@components[1].part_number, components[5].part_number; AE-R002@components[2].part_number, components[6].part_number; AE-R002@components[3].part_number, components[7].part_number","AE-R002@components[0].part_number, components[4].part_number; AE-R002@components[1].part_number, components[5].part_number; AE-R002@components[2].part_number, components[6].part_number; AE-R002@components[3].part_number, components[7].part_number",AE-R002@components[1].id,0,True,False,152096.6352999676
qwen2.5:7b,llm_only,single-ae-r002-004,single_fault,AE-R002@components[1].id,"AE-R002@components[0].id, components[4].id","AE-R002@components[0].id, components[4].id",AE-R002@components[1].id,0,True,False,69976.03510000044
qwen2.5:7b,llm_only,single-ae-r003-000,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.pin_id; AE-R004@wires[3].target.pin_id,AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.pin_id; AE-R004@wires[3].target.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,131513.79019999877
qwen2.5:7b,llm_only,single-ae-r003-001,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target; AE-R004@wires[4].source.pin_id; AE-R004@wires[6].target.pin_id,AE-R003@wires[0].target; AE-R004@wires[4].source.pin_id; AE-R004@wires[6].target.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,120986.24900000868
qwen2.5:7b,llm_only,single-ae-r003-002,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target.component_id; AE-R003@wires[2].target.component_id; AE-R003@wires[6].target.component_id,AE-R003@wires[0].target.component_id; AE-R003@wires[2].target.component_id; AE-R003@wires[6].target.component_id,AE-R003@wires[0].target.pin_id,0,True,False,120903.0303999898
qwen2.5:7b,llm_only,single-ae-r003-003,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.pin_id; AE-R004@wires[3].source.pin_id,AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.pin_id; AE-R004@wires[3].source.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,144493.66719997488
qwen2.5:7b,llm_only,single-ae-r003-004,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target; AE-R004@wires[2].signal_class; AE-R004@wires[3].signal_class,AE-R003@wires[0].target; AE-R004@wires[2].signal_class; AE-R004@wires[3].signal_class,AE-R003@wires[0].target.pin_id,0,True,False,120064.41099999938
qwen2.5:7b,llm_only,single-ae-r004-000,single_fault,AE-R004@wires[1],AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[1],0,True,False,142972.99919999205
qwen2.5:7b,llm_only,single-ae-r004-001,single_fault,AE-R004@wires[1],AE-R004@wires[W-0081-06].source,AE-R004@wires[W-0081-06].source,AE-R004@wires[1],0,True,False,83752.13529996108
qwen2.5:7b,llm_only,single-ae-r004-002,single_fault,AE-R004@wires[1],AE-R004@wires[1].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[1].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[1],0,True,False,171620.7330999896
qwen2.5:7b,llm_only,single-ae-r004-003,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[1].source.component_id; AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[1].source.component_id; AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[1],0,True,False,184278.5405999748
qwen2.5:7b,llm_only,single-ae-r004-004,single_fault,AE-R004@wires[1],AE-R004@wires[W-0084-02]; AE-R004@wires[W-0084-03]; AE-R004@wires[W-0084-04],AE-R004@wires[W-0084-02]; AE-R004@wires[W-0084-03]; AE-R004@wires[W-0084-04],AE-R004@wires[1],0,True,False,120039.34830002254
qwen2.5:7b,llm_only,single-ae-r005-000,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[2].requirement_ids,0,True,False,135840.95929999603
qwen2.5:7b,llm_only,single-ae-r005-001,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids; AE-R005@wires[7].requirement_ids,AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids; AE-R005@wires[7].requirement_ids,,0,True,False,147320.71420003194
qwen2.5:7b,llm_only,single-ae-r005-002,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[2].requirement_ids,0,True,False,87093.2204000419
qwen2.5:7b,llm_only,single-ae-r005-003,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[4].requirement_ids; AE-R005@wires[6].requirement_ids,,0,True,False,109455.15399996657
qwen2.5:7b,llm_only,single-ae-r005-004,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids,AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids,,0,True,False,127180.62790000113
qwen2.5:7b,retrieval_grounded,clean-000,clean,,AE-R002@components[0]; AE-R002@components[4]; AE-R004@wires[3],AE-R002@components[0]; AE-R002@components[4]; AE-R004@wires[3],,0,True,False,155427.4110999977
qwen2.5:7b,retrieval_grounded,clean-001,clean,,AE-R002@components[0]; AE-R005@wires[6],AE-R002@components[0]; AE-R005@wires[6],,0,True,False,100818.86579999991
qwen2.5:7b,retrieval_grounded,clean-002,clean,,,,,0,False,True,301416.329700005
qwen2.5:7b,retrieval_grounded,clean-003,clean,,"AE-R002@components[0].id, components[1].id, components[2].id, components[3].id, components[4].id, components[5].id, components[6].id; AE-R004@wires[0].source, wires[1].target, wires[2].source, wires[3].target, wires[4].source, wires[5].target, wires[6].source","AE-R002@components[0].id, components[1].id, components[2].id, components[3].id, components[4].id, components[5].id, components[6].id; AE-R004@wires[0].source, wires[1].target, wires[2].source, wires[3].target, wires[4].source, wires[5].target, wires[6].source",,0,True,False,132524.92619999975
qwen2.5:7b,retrieval_grounded,clean-004,clean,,AE-R002@components[0]; AE-R004@wires[5],AE-R002@components[0]; AE-R004@wires[5],,0,True,False,100543.4685999935
qwen2.5:7b,retrieval_grounded,mixed-000,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,"AE-R002@components[0].id, components[4].id; AE-R004@wires[1].target.pin_id, wires[2].source.pin_id, wires[3].source.pin_id, wires[4].source.pin_id, wires[6].target.pin_id; AE-R005@wires[1].requirement_ids, wires[3].requirement_ids, wires[4].requirement_ids, wires[6].requirement_ids","AE-R002@components[0].id, components[4].id; AE-R004@wires[1].target.pin_id, wires[2].source.pin_id, wires[3].source.pin_id, wires[4].source.pin_id, wires[6].target.pin_id; AE-R005@wires[1].requirement_ids, wires[3].requirement_ids, wires[4].requirement_ids, wires[6].requirement_ids",AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,140449.90490000055
qwen2.5:7b,retrieval_grounded,mixed-001,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R002@components[1].id; AE-R004@wires[0].target; AE-R005@wires[3].requirement_ids,AE-R004@wires[0].target; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,112743.76450001728
qwen2.5:7b,retrieval_grounded,mixed-002,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,"AE-R002@components[0].id, components[4].id; AE-R004@wires[0].target, wires[1].source, wires[5].source; AE-R005@wires[2].requirement_ids, wires[3].requirement_ids, wires[4].requirement_ids","AE-R002@components[0].id, components[4].id; AE-R004@wires[0].target, wires[1].source, wires[5].source; AE-R005@wires[2].requirement_ids, wires[3].requirement_ids, wires[4].requirement_ids",AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,0,True,False,133137.28990001255
qwen2.5:7b,retrieval_grounded,mixed-003,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,,,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,False,True,287274.18969999417
qwen2.5:7b,retrieval_grounded,mixed-004,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],AE-R002@components[5]; AE-R004@wires[6],AE-R002@components[5]; AE-R004@wires[6],AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],0,True,False,103321.97310001357
qwen2.5:7b,retrieval_grounded,mixed-005,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,AE-R002@components[0]; AE-R004@wires[6]; AE-R005@wires[6],AE-R002@components[0]; AE-R004@wires[6]; AE-R005@wires[6],AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,0,True,False,135038.4783000045
qwen2.5:7b,retrieval_grounded,mixed-006,mixed_fault,AE-R002@components[1].id; AE-R004@wires[1],AE-R002@components[0]; AE-R002@components[1]; AE-R002@components[4]; AE-R002@components[5],AE-R002@components[0]; AE-R002@components[1]; AE-R002@components[4]; AE-R002@components[5],AE-R002@components[1].id; AE-R004@wires[1],0,True,False,159530.22399998736
qwen2.5:7b,retrieval_grounded,mixed-007,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],"AE-R002@components[0].id, components[4].id, components[8].id, components[12].id; AE-R005@wires[0].requirement_ids, wires[2].requirement_ids, wires[4].requirement_ids","AE-R002@components[0].id, components[4].id, components[8].id, components[12].id; AE-R005@wires[0].requirement_ids, wires[2].requirement_ids, wires[4].requirement_ids",AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,136800.03879999276
qwen2.5:7b,retrieval_grounded,mixed-008,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target; AE-R004@wires[2].source.pin_id; wires[2].target.pin_id; AE-R005@wires[1].requirement_ids; wires[3].requirement_ids; wires[4].requirement_ids; wires[5].requirement_ids,AE-R003@wires[0].target; AE-R004@wires[2].source.pin_id; wires[2].target.pin_id; AE-R005@wires[1].requirement_ids; wires[3].requirement_ids; wires[4].requirement_ids; wires[5].requirement_ids,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,0,True,False,119797.13960000663
qwen2.5:7b,retrieval_grounded,mixed-009,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],,,AE-R001@components[0].part_number; AE-R004@wires[1],0,False,True,280396.1955999839
qwen2.5:7b,retrieval_grounded,single-ae-r001-000,single_fault,AE-R001@components[0].part_number,AE-R001@components[4].part_number; AE-R001@components[7].part_number,AE-R001@components[4].part_number; AE-R001@components[7].part_number,AE-R001@components[0].part_number,0,True,False,85558.54069998895
qwen2.5:7b,retrieval_grounded,single-ae-r001-001,single_fault,AE-R001@components[0].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[3].part_number; AE-R001@components[6].part_number,AE-R001@components[0].part_number,0,True,False,92721.02620000078
qwen2.5:7b,retrieval_grounded,single-ae-r001-002,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,293651.79380000336
qwen2.5:7b,retrieval_grounded,single-ae-r001-003,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].id; AE-R001@components[2].id; AE-R001@components[4].id; AE-R001@components[6].id; AE-R001@components[8].id,AE-R001@components[0].id; AE-R001@components[2].id; AE-R001@components[4].id; AE-R001@components[6].id; AE-R001@components[8].id,AE-R001@components[0].part_number,0,True,False,151672.40030001267
qwen2.5:7b,retrieval_grounded,single-ae-r001-004,single_fault,AE-R001@components[0].part_number,AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,AE-R001@components[0].part_number,0,True,False,99330.36809999612
qwen2.5:7b,retrieval_grounded,single-ae-r002-000,single_fault,AE-R002@components[1].id,"AE-R002@components[1].id, components[4].id, components[6].id, components[9].id; AE-R002@components[2].id, components[5].id, components[7].id, components[10].id","AE-R002@components[1].id, components[4].id, components[6].id, components[9].id; AE-R002@components[2].id, components[5].id, components[7].id, components[10].id",AE-R002@components[1].id,0,True,False,120172.49000001175
qwen2.5:7b,retrieval_grounded,single-ae-r002-001,single_fault,AE-R002@components[1].id,"AE-R002@components[0].id, components[4].id","AE-R002@components[0].id, components[4].id",AE-R002@components[1].id,0,True,False,72807.55530000897
qwen2.5:7b,retrieval_grounded,single-ae-r002-002,single_fault,AE-R002@components[1].id,"AE-R002@components[1].id, components[4].id, components[6].id, components[9].id","AE-R002@components[1].id, components[4].id, components[6].id, components[9].id",AE-R002@components[1].id,0,True,False,88268.42090001446
qwen2.5:7b,retrieval_grounded,single-ae-r002-003,single_fault,AE-R002@components[1].id,"AE-R002@components[1].id, components[4].id, components[6].id; AE-R002@components[2].id, components[5].id, components[7].id","AE-R002@components[1].id, components[4].id, components[6].id; AE-R002@components[2].id, components[5].id, components[7].id",AE-R002@components[1].id,0,True,False,107369.08949998906
qwen2.5:7b,retrieval_grounded,single-ae-r002-004,single_fault,AE-R002@components[1].id,"AE-R002@components[0].id, components[1].id, components[3].id, components[5].id, components[7].id","AE-R002@components[0].id, components[1].id, components[3].id, components[5].id, components[7].id",AE-R002@components[1].id,0,True,False,90290.7705999969
qwen2.5:7b,retrieval_grounded,single-ae-r003-000,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].target; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].target.pin_id,0,True,False,88955.08230000269
qwen2.5:7b,retrieval_grounded,single-ae-r003-001,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target,AE-R003@wires[0].target,AE-R003@wires[0].target.pin_id,0,True,False,78400.57309999247
qwen2.5:7b,retrieval_grounded,single-ae-r003-002,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target,AE-R003@wires[0].target,AE-R003@wires[0].target.pin_id,0,True,False,74661.35290000238
qwen2.5:7b,retrieval_grounded,single-ae-r003-003,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target,AE-R003@wires[0].target,AE-R003@wires[0].target.pin_id,0,True,False,83696.40179999988
qwen2.5:7b,retrieval_grounded,single-ae-r003-004,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target; AE-R003@wires[4].target; AE-R003@wires[6].target,AE-R003@wires[0].target; AE-R003@wires[4].target; AE-R003@wires[6].target,AE-R003@wires[0].target.pin_id,0,True,False,107112.45119999512
qwen2.5:7b,retrieval_grounded,single-ae-r004-000,single_fault,AE-R004@wires[1],AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[2].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[4].source.component_id; AE-R004@wires[6].source.component_id,AE-R004@wires[1],0,True,False,189401.53400000418
qwen2.5:7b,retrieval_grounded,single-ae-r004-001,single_fault,AE-R004@wires[1],AE-R004@wires[3].target; AE-R004@wires[5].source,AE-R004@wires[3].target; AE-R004@wires[5].source,AE-R004@wires[1],0,True,False,89801.24790000264
qwen2.5:7b,retrieval_grounded,single-ae-r004-002,single_fault,AE-R004@wires[1],AE-R004@wires[0].source; AE-R004@wires[2].source; AE-R004@wires[3].source; AE-R004@wires[4].source; AE-R004@wires[5].source; AE-R004@wires[6].source,AE-R004@wires[0].source; AE-R004@wires[2].source; AE-R004@wires[3].source; AE-R004@wires[4].source; AE-R004@wires[5].source; AE-R004@wires[6].source,AE-R004@wires[1],0,True,False,158460.03580000252
qwen2.5:7b,retrieval_grounded,single-ae-r004-003,single_fault,AE-R004@wires[1],AE-R004@wires[1].target; AE-R004@wires[2].source; AE-R004@wires[3].source; AE-R004@wires[5].source; AE-R004@wires[6].source,AE-R004@wires[1].target; AE-R004@wires[2].source; AE-R004@wires[3].source; AE-R004@wires[5].source; AE-R004@wires[6].source,AE-R004@wires[1],0,True,False,150903.98939998704
qwen2.5:7b,retrieval_grounded,single-ae-r004-004,single_fault,AE-R004@wires[1],AE-R004@wires[W-0084-02]; AE-R004@wires[W-0084-03]; AE-R004@wires[W-0084-04],AE-R004@wires[W-0084-02]; AE-R004@wires[W-0084-03]; AE-R004@wires[W-0084-04],AE-R004@wires[1],0,True,False,127740.73570000473
qwen2.5:7b,retrieval_grounded,single-ae-r005-000,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[6].requirement_ids,,0,True,False,84704.94830000098
qwen2.5:7b,retrieval_grounded,single-ae-r005-002,single_fault,AE-R005@wires[2].requirement_ids,"AE-R004@wires[3].source.pin_id,wires[3].target.pin_id; AE-R004@wires[5].source.pin_id,wires[5].target.pin_id; AE-R004@wires[6].source.pin_id,wires[6].target.pin_id; AE-R005@wires[2].requirement_ids","AE-R004@wires[3].source.pin_id,wires[3].target.pin_id; AE-R004@wires[5].source.pin_id,wires[5].target.pin_id; AE-R004@wires[6].source.pin_id,wires[6].target.pin_id",,0,True,False,132735.52780001773
qwen2.5:7b,retrieval_grounded,single-ae-r005-003,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[5].requirement_ids,AE-R005@wires[5].requirement_ids,,0,True,False,90371.08379998244
